"","SampleId","Purity_ABS","Ploidy_ABS","Purity_PCN_t","Ploidy_PCN_t","Purity_PCN_p","Ploidy_PCN_p","Purity_FACETS","Ploidy_FACETS","Sample"
"1","TCGA-04-1542-01",0.94,3.1,0.87,3.00296457240944,0.87,3.00170989074103,0.862257850066357,2.98474265791295,"OV"
"2","TCGA-04-1655-01",0.94,4.67,0.87,4.4412728408462,0.88,4.45171342376005,0.876070996069712,4.80227680303947,"OV"
"3","TCGA-09-0365-01",0.94,4.38,0.92,4.33190940634879,0.94,4.33029830199705,0.920436931176243,4.50235580720898,"OV"
"4","TCGA-09-0369-01",0.9,2.64,0.87,2.5988341134995,0.88,2.59824945280836,0.81981612175001,2.90998706405884,"OV"
"5","TCGA-09-1673-01",0.87,4.07,0.87,4.07974372886669,0.86,4.08111535461053,0.854175786473739,4.04515533796836,"OV"
"6","TCGA-09-1674-01",0.95,3.5,0.85,3.4280586746245,0.87,3.43313094155446,0.866101734586641,4.29403856824058,"OV"
"7","TCGA-09-1675-01",0.95,1.8,0.91,1.82243775023156,0.92,1.8224495951244,0.884080365568004,1.84899231279979,"OV"
"8","TCGA-09-2049-01",0.97,3.2,0.87,3.26819508143351,0.88,3.2679698948669,0.880737385012116,3.53254464358872,"OV"
"9","TCGA-09-2050-01",0.96,1.75,0.93,1.75303684271155,0.94,1.75279104408196,0.946764433204213,1.75773653009521,"OV"
"10","TCGA-09-2051-01",0.74,3.04,0.63,3.54511166447542,0.7,4.46039938245142,0.809302042157398,2.3905776043087,"OV"
"11","TCGA-09-2053-01",0.81,1.74,0.66,1.68830473865202,0.66,1.68871213555715,0.686750834224703,2.21648560579057,"OV"
"12","TCGA-09-2055-01",0.82,1.92,0.81,1.92918853031484,0.81,1.9290305848056,0.80341450056984,1.95955126828582,"OV"
"13","TCGA-10-0930-01",0.66,3.48,0.65,3.43547250480775,0.65,3.43853857802228,0.638741604558472,3.52015247879568,"OV"
"14","TCGA-10-0933-01",0.91,2.62,0.89,2.59712463582826,0.89,2.59691515395212,0.890500778297212,2.65801356635571,"OV"
"15","TCGA-10-0934-01",0.91,2.02,0.86,2.02187628123285,0.86,2.02197519132642,0.856168669503211,2.0979703116299,"OV"
"16","TCGA-10-0935-01",0.95,3.26,0.92,3.16382020737997,0.93,3.16255591169219,0.908389811372914,3.18778074212576,"OV"
"17","TCGA-13-0726-01",0.73,2,0.66,1.98139215110932,0.66,1.9775596319446,0.507050285402398,4.2205553379511,"OV"
"18","TCGA-13-0751-01",0.93,2.84,0.91,2.80752832415024,0.92,2.80707918299924,0.888781842154865,2.86589189046287,"OV"
"19","TCGA-13-0757-01",0.77,4.01,0.71,3.89963203727523,0.7,3.94237912967906,0.721549363790764,3.77857605190373,"OV"
"20","TCGA-13-0807-01",0.77,3.03,0.71,3.02929399704204,0.71,3.02982248722971,0.699254478413116,3.39218323491206,"OV"
"21","TCGA-13-0885-01",0.49,4.32,0.51,4.21796226500117,0.5,4.22797892224118,0.501024219404921,4.48884614423731,"OV"
"22","TCGA-13-0887-01",0.91,1.84,0.65,3.58429467867576,0.7,3.52139246293581,0.728577768323896,3.66085472924354,"OV"
"23","TCGA-13-0890-01",0.57,1.69,0.55,1.71626717668236,0.55,1.71189546473629,0.442560745133064,3.37132771467094,"OV"
"24","TCGA-13-0893-01",0.71,3.27,0.63,4.37952822875939,0.63,4.5139513693517,0.706664957926614,3.24848616192458,"OV"
"25","TCGA-13-0897-01",0.81,2.01,0.79,1.99211933441311,0.79,1.99209148500258,0.806998284115334,1.97014378034399,"OV"
