"","SampleId","HLAA_major_ABS","HLAA_minor_ABS","HLAA_LOH_ABS","HLAB_major_ABS","HLAB_minor_ABS","HLAB_LOH_ABS","HLAC_major_ABS","HLAC_minor_ABS","HLAC_LOH_ABS","TP53_major_ABS","TP53_minor_ABS","TP53_LOH_ABS","HLAA_major_PCN","HLAA_minor_PCN","HLAA_LOH_PCN","HLAB_major_PCN","HLAB_minor_PCN","HLAB_LOH_PCN","HLAC_major_PCN","HLAC_minor_PCN","HLAC_LOH_PCN","TP53_major_PCN","TP53_minor_PCN","TP53_LOH_PCN","Kit","Sample"
"1","TCGA-09-2045-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"2","TCGA-09-2049-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,2,0,TRUE,3,2,FALSE,3,2,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
"3","TCGA-09-2050-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"931070","OV"
"4","TCGA-09-2051-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,0,TRUE,3,2,FALSE,3,2,FALSE,3,2,FALSE,5,0,TRUE,"931070","OV"
"5","TCGA-09-2053-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"6","TCGA-09-2055-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,1,0,TRUE,"931070","OV"
"7","TCGA-09-2056-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1.4317012248844,0,TRUE,1,0,TRUE,1,0,TRUE,"931070","OV"
"8","TCGA-10-0934-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,1,FALSE,"931070","OV"
"9","TCGA-13-0751-01",3,1,FALSE,NA,NA,NA,NA,NA,NA,3,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,"931070","OV"
"10","TCGA-13-0757-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,0,TRUE,"931070","OV"
"11","TCGA-13-1500-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"12","TCGA-13-2060-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,4,0,TRUE,"931070","OV"
"13","TCGA-23-2072-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,2,1,FALSE,1,1,FALSE,1,1,FALSE,2,0,TRUE,"931070","OV"
"14","TCGA-23-2077-01",5,3,FALSE,5,3,FALSE,5,3,FALSE,7,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,3,0,TRUE,"931070","OV"
"15","TCGA-23-2078-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,"931070","OV"
"16","TCGA-23-2079-01",5,0,TRUE,5,0,TRUE,5,0,TRUE,2,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,2,0,TRUE,"931070","OV"
"17","TCGA-23-2081-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"18","TCGA-23-2084-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
"19","TCGA-24-1927-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,1,0,TRUE,"931070","OV"
"20","TCGA-24-2019-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"931070","OV"
"21","TCGA-24-2024-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,TRUE,1,1,FALSE,1,1,FALSE,1,1,FALSE,2,0,TRUE,"931070","OV"
"22","TCGA-24-2030-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,"931070","OV"
