"","SampleId","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Mode","Sample"
"15","TCGA-09-2045-01",0.361465805663529,0.0690932578792615,0,0,0.453521787763351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"16","TCGA-09-2049-01",0,0,0.425626874882644,0.0972089803284005,0,0,0,0,0,0,0.0605298600033277,0,0,0,0,0,0,0,0,0,0.125114265641205,0,0,0,0,0,0,0,0.162258980801579,0,"Tumor-only","OV"
"17","TCGA-09-2050-01",0,0,0.402548423763945,0,0,0.161347067616325,0,0,0,0,0.0831737854972335,0.0877854234893609,0.0946577317618969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696371066957778,0,0,"Tumor-only","OV"
"18","TCGA-09-2051-01",0.144348795748885,0,0.367760461113662,0,0,0,0,0,0,0,0.0806902764434815,0,0,0,0,0,0,0.130025305727493,0,0,0,0,0,0,0,0,0,0,0.214863152749679,0,"Tumor-only","OV"
"19","TCGA-09-2053-01",0.271896573341085,0,0.205130329254444,0,0.0996681916257583,0.0730799287381151,0,0,0,0,0,0,0,0,0,0,0,0,0.141979874952794,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"20","TCGA-09-2055-01",0.0673338159262057,0.0917262484444382,0.561031353700266,0,0,0,0,0,0,0,0,0,0,0,0.0928161210835819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"21","TCGA-09-2056-01",0.316734324683723,0,0.399221376465642,0,0,0,0,0,0,0,0.082415241901427,0,0.0849726675606555,0,0,0,0,0,0,0.097981834983214,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"23","TCGA-10-0934-01",0.198584069131768,0,0.595440449085951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130565182785201,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"24","TCGA-13-0751-01",0.361556547655649,0,0.0611877428520774,0.199728242488144,0,0,0,0,0,0.0645108697127325,0.0676932203769866,0,0,0,0,0,0,0,0,0.123279474727012,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"26","TCGA-13-0757-01",0.199783328493138,0,0.0704801898476374,0,0.287393237004256,0.0856937424473952,0,0,0,0.081343390441054,0,0.0755981945593428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110946815596244,0,"Tumor-only","OV"
"40","TCGA-13-1500-01",0.105150474066091,0,0,0,0.17568243660745,0.335854857566108,0,0,0,0,0,0.151601146544493,0,0,0,0,0,0,0,0,0,0,0,0,0.105903590641668,0,0,0,0,0,"Tumor-only","OV"
"43","TCGA-13-2060-01",0.392086742477016,0,0.105606639688601,0,0,0.147559479772103,0.0901113816671239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617459414251955,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"53","TCGA-23-2072-01",0.240357634848658,0,0.204807732054462,0,0.105722588732236,0,0,0,0,0,0.0675513442319495,0,0,0,0,0,0,0,0,0.188114066588342,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"54","TCGA-23-2077-01",0,0,0.251243591116181,0,0.272591100138882,0.195498259398247,0,0,0,0,0.0840283672451737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"55","TCGA-23-2078-01",0.165100742587766,0,0.0689458767079619,0,0.179659619603109,0,0.128433808095959,0,0,0,0,0,0,0,0,0,0,0.102304026293675,0.164107960135387,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"56","TCGA-23-2079-01",0.184595772173812,0,0.465227633575215,0,0.084289445418777,0.148887648462502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tumor-only","OV"
"57","TCGA-23-2081-01",0.100733195674883,0,0.320542982277066,0,0.150535697761411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641435824302171,0,0,0,0,0.137857865957092,0,"Tumor-only","OV"
"58","TCGA-23-2084-01",0.143212884121291,0,0.19054874941557,0,0,0,0.100349674030792,0,0,0,0,0,0,0,0,0.111997113732096,0,0,0,0,0,0,0,0,0.0925571078993187,0,0.298677846876051,0,0,0,"Tumor-only","OV"
"61","TCGA-24-1927-01",0.151383359823943,0.0709409464468072,0.152184782693897,0.0759966746384449,0.234992482893769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102112223897145,0,0,0.0791117835262773,"Tumor-only","OV"
