"sampleID" "HLAA_LOH_t" "HLAA_LOH_p" "HLAB_LOH_t" "HLAB_LOH_p" "HLAC_LOH_t" "HLAC_LOH_p"
"1" "C239.TCGA-04-1332-01A-01W.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"2" "C239.TCGA-04-1336-01A-01W.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"3" "C239.TCGA-04-1343-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"4" "C239.TCGA-04-1346-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"5" "C239.TCGA-04-1347-01A-01W.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"6" "C239.TCGA-04-1348-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"7" "C239.TCGA-04-1349-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"8" "C239.TCGA-04-1361-01A-01W.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"9" "C239.TCGA-04-1362-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"10" "C239.TCGA-09-2043-01A-01W-0799-08.3_gdc_realn" FALSE FALSE TRUE TRUE FALSE FALSE
"11" "C239.TCGA-09-2044-01B-01D-0704-01.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"12" "C239.TCGA-09-2044-01B-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"13" "C239.TCGA-09-2045-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"14" "C239.TCGA-09-2049-01D-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"15" "C239.TCGA-09-2050-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"16" "C239.TCGA-09-2051-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"17" "C239.TCGA-09-2053-01C-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"18" "C239.TCGA-09-2055-01B-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"19" "C239.TCGA-09-2056-01B-01W-0722-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"20" "C239.TCGA-10-0934-01A-02D.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"21" "C239.TCGA-13-0751-01A-01D.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"22" "C239.TCGA-13-0755-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"23" "C239.TCGA-13-0757-01A-01D.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"24" "C239.TCGA-13-0760-01A-01W.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"25" "C239.TCGA-13-0791-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"26" "C239.TCGA-13-0795-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"27" "C239.TCGA-13-0800-01A-01W.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"28" "C239.TCGA-13-0894-01B-01W.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"29" "C239.TCGA-13-1403-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"30" "C239.TCGA-13-1411-01A-01W.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"31" "C239.TCGA-13-1412-01A-01W.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"32" "C239.TCGA-13-1477-01A-01D.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"33" "C239.TCGA-13-1500-01A-01D.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"34" "C239.TCGA-13-1505-01A-01D.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"35" "C239.TCGA-13-2060-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"36" "C239.TCGA-20-0991-01A-03D.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"37" "C239.TCGA-20-0996-01A-03W.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"38" "C239.TCGA-23-1021-01B-01W.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"39" "C239.TCGA-23-1022-01A-02W.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"40" "C239.TCGA-23-1110-01A-01D.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"41" "C239.TCGA-23-1117-01A-02W.2_gdc_realn" NA NA FALSE FALSE FALSE FALSE
"42" "C239.TCGA-23-1118-01A-01W.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"43" "C239.TCGA-23-1123-01A-01W.3_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"44" "C239.TCGA-23-1124-01A-01W.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"45" "C239.TCGA-23-2072-01A-01W-0722-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"46" "C239.TCGA-23-2077-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"47" "C239.TCGA-23-2078-01A-01W-0722-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"48" "C239.TCGA-23-2079-01A-01W-0722-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"49" "C239.TCGA-23-2081-01A-01W-0722-08.5_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"50" "C239.TCGA-23-2084-01A-02W-0722-08.7_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"51" "C239.TCGA-24-1431-01A-01D.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"52" "C239.TCGA-24-1927-01A-01W-0699-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"53" "C239.TCGA-24-2019-01A-02W-0722-08.4_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"54" "C239.TCGA-24-2024-01A-02W-0722-08.3_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"55" "C239.TCGA-24-2030-01A-01W-0722-08.4_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"56" "C239.TCGA-24-2033-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"57" "C239.TCGA-24-2035-01A-01W-0722-08.5_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"58" "C239.TCGA-24-2036-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"59" "C239.TCGA-24-2038-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"60" "C239.TCGA-24-2254-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"61" "C239.TCGA-24-2260-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"62" "C239.TCGA-24-2261-01A-01W-0722-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"63" "C239.TCGA-24-2262-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"64" "C239.TCGA-24-2267-01A-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"65" "C239.TCGA-24-2271-01A-01W-0799-08.2_gdc_realn" TRUE TRUE TRUE TRUE TRUE TRUE
"66" "C239.TCGA-24-2280-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"67" "C239.TCGA-24-2281-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
"68" "C239.TCGA-24-2288-01A-01W-0799-08.2_gdc_realn" FALSE FALSE FALSE FALSE FALSE FALSE
