"sampleID" "TP53_LOH_t" "TP53_LOH_p"
"1" "C239.TCGA-04-1332-01A-01W.2_gdc_realn" TRUE TRUE
"2" "C239.TCGA-04-1336-01A-01W.2_gdc_realn" TRUE TRUE
"3" "C239.TCGA-04-1343-01A-01W.3_gdc_realn" TRUE TRUE
"4" "C239.TCGA-04-1346-01A-01W.3_gdc_realn" TRUE TRUE
"5" "C239.TCGA-04-1347-01A-01W.5_gdc_realn" TRUE TRUE
"6" "C239.TCGA-04-1348-01A-01W.3_gdc_realn" TRUE TRUE
"7" "C239.TCGA-04-1349-01A-01W.3_gdc_realn" TRUE TRUE
"8" "C239.TCGA-04-1361-01A-01W.4_gdc_realn" TRUE TRUE
"9" "C239.TCGA-04-1362-01A-01W.3_gdc_realn" TRUE TRUE
"10" "C239.TCGA-09-2043-01A-01W-0799-08.3_gdc_realn" TRUE TRUE
"11" "C239.TCGA-09-2044-01B-01D-0704-01.2_gdc_realn" TRUE TRUE
"12" "C239.TCGA-09-2044-01B-01W-0799-08.2_gdc_realn" TRUE TRUE
"13" "C239.TCGA-09-2045-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"14" "C239.TCGA-09-2049-01D-01W-0799-08.2_gdc_realn" TRUE TRUE
"15" "C239.TCGA-09-2050-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"16" "C239.TCGA-09-2051-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"17" "C239.TCGA-09-2053-01C-01W-0722-08.2_gdc_realn" TRUE TRUE
"18" "C239.TCGA-09-2055-01B-01W-0799-08.2_gdc_realn" TRUE TRUE
"19" "C239.TCGA-09-2056-01B-01W-0722-08.2_gdc_realn" TRUE TRUE
"20" "C239.TCGA-10-0934-01A-02D.2_gdc_realn" FALSE FALSE
"21" "C239.TCGA-13-0751-01A-01D.5_gdc_realn" TRUE TRUE
"22" "C239.TCGA-13-0755-01A-01W.3_gdc_realn" TRUE TRUE
"23" "C239.TCGA-13-0757-01A-01D.4_gdc_realn" TRUE TRUE
"24" "C239.TCGA-13-0760-01A-01W.2_gdc_realn" TRUE TRUE
"25" "C239.TCGA-13-0791-01A-01W.3_gdc_realn" TRUE TRUE
"26" "C239.TCGA-13-0795-01A-01W.3_gdc_realn" TRUE TRUE
"27" "C239.TCGA-13-0800-01A-01W.4_gdc_realn" TRUE TRUE
"28" "C239.TCGA-13-0894-01B-01W.2_gdc_realn" TRUE TRUE
"29" "C239.TCGA-13-1403-01A-01W.3_gdc_realn" TRUE TRUE
"30" "C239.TCGA-13-1411-01A-01W.2_gdc_realn" TRUE TRUE
"31" "C239.TCGA-13-1412-01A-01W.3_gdc_realn" TRUE TRUE
"32" "C239.TCGA-13-1477-01A-01D.3_gdc_realn" TRUE TRUE
"33" "C239.TCGA-13-1500-01A-01D.3_gdc_realn" TRUE TRUE
"34" "C239.TCGA-13-1505-01A-01D.2_gdc_realn" TRUE TRUE
"35" "C239.TCGA-13-2060-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"36" "C239.TCGA-20-0991-01A-03D.2_gdc_realn" TRUE TRUE
"37" "C239.TCGA-20-0996-01A-03W.3_gdc_realn" FALSE FALSE
"38" "C239.TCGA-23-1021-01B-01W.2_gdc_realn" TRUE TRUE
"39" "C239.TCGA-23-1022-01A-02W.3_gdc_realn" TRUE TRUE
"40" "C239.TCGA-23-1110-01A-01D.3_gdc_realn" TRUE TRUE
"41" "C239.TCGA-23-1117-01A-02W.2_gdc_realn" TRUE TRUE
"42" "C239.TCGA-23-1118-01A-01W.2_gdc_realn" TRUE TRUE
"43" "C239.TCGA-23-1123-01A-01W.3_gdc_realn" TRUE TRUE
"44" "C239.TCGA-23-1124-01A-01W.2_gdc_realn" TRUE TRUE
"45" "C239.TCGA-23-2072-01A-01W-0722-08.3_gdc_realn" TRUE TRUE
"46" "C239.TCGA-23-2077-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"47" "C239.TCGA-23-2078-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"48" "C239.TCGA-23-2079-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"49" "C239.TCGA-23-2081-01A-01W-0722-08.5_gdc_realn" TRUE TRUE
"50" "C239.TCGA-23-2084-01A-02W-0722-08.7_gdc_realn" TRUE TRUE
"51" "C239.TCGA-24-1431-01A-01D.2_gdc_realn" TRUE TRUE
"52" "C239.TCGA-24-1927-01A-01W-0699-08.4_gdc_realn" TRUE TRUE
"53" "C239.TCGA-24-2019-01A-02W-0722-08.4_gdc_realn" TRUE TRUE
"54" "C239.TCGA-24-2024-01A-02W-0722-08.3_gdc_realn" TRUE TRUE
"55" "C239.TCGA-24-2030-01A-01W-0722-08.4_gdc_realn" TRUE TRUE
"56" "C239.TCGA-24-2033-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"57" "C239.TCGA-24-2035-01A-01W-0722-08.5_gdc_realn" TRUE TRUE
"58" "C239.TCGA-24-2036-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"59" "C239.TCGA-24-2038-01A-01W-0722-08.2_gdc_realn" FALSE FALSE
"60" "C239.TCGA-24-2254-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"61" "C239.TCGA-24-2260-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"62" "C239.TCGA-24-2261-01A-01W-0722-08.2_gdc_realn" TRUE TRUE
"63" "C239.TCGA-24-2262-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"64" "C239.TCGA-24-2267-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"65" "C239.TCGA-24-2271-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"66" "C239.TCGA-24-2280-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"67" "C239.TCGA-24-2281-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"68" "C239.TCGA-24-2288-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"69" "C239.TCGA-24-2289-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"70" "C239.TCGA-24-2290-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"71" "C239.TCGA-24-2293-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"72" "C239.TCGA-24-2295-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"73" "C239.TCGA-24-2298-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"74" "C239.TCGA-25-1319-01A-01D.5_gdc_realn" TRUE TRUE
"75" "C239.TCGA-25-2042-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"76" "C239.TCGA-25-2391-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"77" "C239.TCGA-25-2392-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"78" "C239.TCGA-25-2393-01A-01W-0799-08.4_gdc_realn" TRUE TRUE
"79" "C239.TCGA-25-2396-01A-01D-0704-01.2_gdc_realn" TRUE TRUE
"80" "C239.TCGA-25-2396-01A-01W-0799-08.3_gdc_realn" TRUE TRUE
"81" "C239.TCGA-25-2397-01A-01D-0704-01.2_gdc_realn" TRUE TRUE
"82" "C239.TCGA-25-2397-01A-01W-0799-08.2_gdc_realn" TRUE TRUE
"83" "C239.TCGA-25-2398-01A-01D-0704-01.2_gdc_realn" TRUE TRUE
