"","SampleId","TP53_major","TP53_minor","TP53_LOH","TP53_C_t","TP53_M_t","TP53_LOH_t","kit"
"1","TCGA-09-2045-01",1,0,TRUE,1,0,TRUE,"931070"
"2","TCGA-09-2049-01",2,0,TRUE,2,0,TRUE,"931070"
"3","TCGA-09-2050-01",1,0,TRUE,1,0,TRUE,"931070"
"4","TCGA-09-2051-01",4,0,TRUE,5,0,TRUE,"931070"
"5","TCGA-09-2053-01",1,0,TRUE,1,0,TRUE,"931070"
"6","TCGA-09-2055-01",1,0,TRUE,1,0,TRUE,"931070"
"7","TCGA-09-2056-01",1,0,TRUE,1,0,TRUE,"931070"
"9","TCGA-13-0751-01",3,0,TRUE,3,0,TRUE,"931070"
"10","TCGA-13-0757-01",3,0,TRUE,3,0,TRUE,"931070"
"11","TCGA-13-1500-01",1,0,TRUE,1,0,TRUE,"931070"
"12","TCGA-13-2060-01",4,0,TRUE,4,0,TRUE,"931070"
"13","TCGA-23-2072-01",2,0,TRUE,2,0,TRUE,"931070"
"14","TCGA-23-2077-01",7,0,TRUE,3,0,TRUE,"931070"
"15","TCGA-23-2078-01",1,0,TRUE,2,0,TRUE,"931070"
"16","TCGA-23-2079-01",2,0,TRUE,2,0,TRUE,"931070"
"17","TCGA-23-2081-01",1,0,TRUE,1,0,TRUE,"931070"
"18","TCGA-23-2084-01",2,0,TRUE,2,0,TRUE,"931070"
"19","TCGA-24-1927-01",1,0,TRUE,1,0,TRUE,"931070"
"20","TCGA-24-2019-01",2,0,TRUE,2,0,TRUE,"931070"
"21","TCGA-24-2024-01",2,0,TRUE,2,0,TRUE,"931070"
"22","TCGA-24-2030-01",2,0,TRUE,2,0,TRUE,"931070"
"23","TCGA-24-2033-01",2,0,TRUE,2,0,TRUE,"931070"
"24","TCGA-24-2035-01",1,0,TRUE,1,0,TRUE,"931070"
"25","TCGA-24-2036-01",1,0,TRUE,1,0,TRUE,"931070"
"27","TCGA-24-2254-01",2,0,TRUE,2,0,TRUE,"931070"
"28","TCGA-24-2260-01",4,0,TRUE,4,0,TRUE,"931070"
"29","TCGA-24-2261-01",2,0,TRUE,2,0,TRUE,"931070"
"30","TCGA-24-2262-01",2,0,TRUE,2,0,TRUE,"931070"
"31","TCGA-24-2267-01",2,0,TRUE,2,0,TRUE,"931070"
"32","TCGA-24-2271-01",1,0,TRUE,1,0,TRUE,"931070"
"33","TCGA-24-2280-01",2,0,TRUE,2,0,TRUE,"931070"
"34","TCGA-24-2281-01",4,0,TRUE,4,0,TRUE,"931070"
"35","TCGA-24-2288-01",3,0,TRUE,2,0,TRUE,"931070"
"36","TCGA-24-2289-01",2,0,TRUE,2,0,TRUE,"931070"
"37","TCGA-24-2290-01",2,0,TRUE,2,0,TRUE,"931070"
"38","TCGA-24-2293-01",3,0,TRUE,2,0,TRUE,"931070"
"39","TCGA-24-2295-01",2,0,TRUE,2,0,TRUE,"931070"
"40","TCGA-24-2298-01",1,0,TRUE,1,0,TRUE,"931070"
"41","TCGA-25-1319-01",2,0,TRUE,2,0,TRUE,"931070"
"42","TCGA-25-2042-01",1,0,TRUE,2,0,TRUE,"931070"
"43","TCGA-25-2391-01",1,0,TRUE,1,0,TRUE,"931070"
"44","TCGA-25-2392-01",4,0,TRUE,4,0,TRUE,"931070"
"45","TCGA-25-2393-01",2,0,TRUE,2,0,TRUE,"931070"
"46","TCGA-25-2399-01",1,0,TRUE,1,0,TRUE,"931070"
"47","TCGA-25-2400-01",5,0,TRUE,6,0,TRUE,"931070"
"48","TCGA-25-2401-01",1,0,TRUE,1,0,TRUE,"931070"
"49","TCGA-25-2404-01",4,0,TRUE,4,0,TRUE,"931070"
"51","TCGA-25-2409-01",2,0,TRUE,2,0,TRUE,"931070"
"52","TCGA-29-2427-01",1,0,TRUE,1,0,TRUE,"931070"
"54","TCGA-30-1862-01",3,0,TRUE,3,0,TRUE,"931070"
"55","TCGA-30-1891-01",1,0,TRUE,1,0,TRUE,"931070"
"56","TCGA-31-1950-01",2,0,TRUE,2,0,TRUE,"931070"
"57","TCGA-31-1953-01",6,0,TRUE,6,0,TRUE,"931070"
"58","TCGA-31-1959-01",1,0,TRUE,2,0,TRUE,"931070"
"59","TCGA-57-1992-01",2,0,TRUE,4,0,TRUE,"931070"
"60","TCGA-57-1993-01",2,0,TRUE,2,0,TRUE,"931070"
"61","TCGA-57-1994-01",3,0,TRUE,3,0,TRUE,"931070"
"62","TCGA-59-2350-01",1,0,TRUE,1,0,TRUE,"931070"
"63","TCGA-59-2351-01",2,0,TRUE,2,0,TRUE,"931070"
"64","TCGA-59-2352-01",4,0,TRUE,4,0,TRUE,"931070"
"65","TCGA-59-2354-01",1,0,TRUE,1,0,TRUE,"931070"
"66","TCGA-59-2355-01",1,0,TRUE,1,0,TRUE,"931070"
"67","TCGA-59-2363-01",1,0,TRUE,1,0,TRUE,"931070"
"68","TCGA-61-1728-01",2,0,TRUE,1,0,TRUE,"931070"
"69","TCGA-61-1736-01",1,0,TRUE,1,0,TRUE,"931070"
"70","TCGA-61-1919-01",1,0,TRUE,2,0,TRUE,"931070"
"71","TCGA-61-1995-01",1,0,TRUE,1,0,TRUE,"931070"
"72","TCGA-61-1998-01",1,0,TRUE,2,0,TRUE,"931070"
"73","TCGA-61-2000-01",1,0,TRUE,1,0,TRUE,"931070"
"74","TCGA-61-2002-01",1,0,TRUE,1,0,TRUE,"931070"
"75","TCGA-61-2003-01",2,0,TRUE,3,0,TRUE,"931070"
"76","TCGA-61-2008-01",2,0,TRUE,2,0,TRUE,"931070"
"77","TCGA-61-2009-01",3,0,TRUE,3,0,TRUE,"931070"
"78","TCGA-61-2012-01",7,0,TRUE,9.71926771545371,0,TRUE,"931070"
"79","TCGA-61-2016-01",1,0,TRUE,1,0,TRUE,"931070"
"80","TCGA-61-2018-01",4,0,TRUE,4,0,TRUE,"931070"
"81","TCGA-61-2087-01",2,0,TRUE,2,0,TRUE,"931070"
"82","TCGA-61-2088-01",2,0,TRUE,2,0,TRUE,"931070"
"83","TCGA-61-2092-01",2,0,TRUE,2,1,FALSE,"931070"
"84","TCGA-61-2094-01",1,0,TRUE,2,0,TRUE,"931070"
"85","TCGA-61-2096-01",1,0,TRUE,1,0,TRUE,"931070"
"86","TCGA-61-2097-01",4,0,TRUE,4,0,TRUE,"931070"
"87","TCGA-61-2101-01",2,0,TRUE,2,0,TRUE,"931070"
"88","TCGA-61-2102-01",1,0,TRUE,1,0,TRUE,"931070"
"89","TCGA-61-2104-01",2,0,TRUE,2,0,TRUE,"931070"
