"sampleID" "HLAA_C_t" "HLAA_M_t" "HLAA_LOH_t" "HLAB_C_t" "HLAB_M_t" "HLAB_LOH_t" "HLAC_C_t" "HLAC_M_t" "HLAC_LOH_t" "TP53_C_t" "TP53_M_t" "TP53_LOH_t"
"1" "067d45306340f1d2fb31594e684e56e6_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 1 0 TRUE
"2" "06a5011df15ad0ed6cb532db4047245a_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"3" "06f7898ab1721f327a4b12e66911c508_gdc_realn_genes.csv" 3 2 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"4" "07ce157ad335b0b8214989742f73b19c_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 3 0 TRUE
"5" "080342dd5fcf9ab05e4b72ee8fe05868_gdc_realn_genes.csv" 5 2 FALSE 5 2 FALSE 5 2 FALSE 6 0 TRUE
"6" "0990c957ceeb586f6f4087ef436993c0_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 3 0 TRUE
"7" "0d9b82f969ba11a233081952ef4cd1ed_gdc_realn_genes.csv" 2 1 FALSE 3 1 FALSE 3 0 TRUE 3 0 TRUE
"8" "0e66afeb076070fcf9fdd1ad9591c199_gdc_realn_genes.csv" 3.5 NA NA 3 0 TRUE 3 0 TRUE 3 0 TRUE
"9" "122c753f67bd57bc7181214c4b0ae9bf_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 5 0 TRUE
"10" "13ba14331e7b9d10b853903ec10ebe20_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"11" "14cad354b1a91695993571b081af9fa1_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 5 2 FALSE 1 0 TRUE
"12" "18636681b0c12776a718ffad7521e00b_gdc_realn_genes.csv" 2 1 FALSE 3 1 FALSE 2 1 FALSE 1 0 TRUE
"13" "1926051490e4aec29665aab45c8449c2_gdc_realn_genes.csv" 4 1 FALSE 4 1 FALSE 4 1 FALSE 3 0 TRUE
"14" "1c05637f89d905aff71d9432760606d0_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 4 0 TRUE
"15" "1e89fba326dbe4790cd80d0a80af9b81_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 2 0 TRUE
"16" "2873c83dd435a87c79257d7eaf195a82_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"17" "29b7944737b1c11be2b158eadae07307_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 2 0 TRUE
"18" "2a0df78db1047524146910205c6e94f4_gdc_realn_genes.csv" 6 2 FALSE 7 2 FALSE 5 2 FALSE 2 0 TRUE
"19" "2a22378f4f29060d14c5c51ba985b30b_gdc_realn_genes.csv" 3 2 FALSE 3 1 FALSE 3 1 FALSE 1 0 TRUE
"20" "2c7dd4a55ef948746f474e74b4d8e274_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 2 0 TRUE
"21" "2de02bf10570ff538722d2d04062e79e_gdc_realn_genes.csv" 6 2 FALSE 5 1 FALSE 12.3171418975931 1 FALSE 2 0 TRUE
"22" "2e75f5ce361f222eea9bf4623b9671dd_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 4 0 TRUE
"23" "33a0bd2794a0e57e43b05088947ded41_gdc_realn_genes.csv" 4 0 TRUE 4 0 TRUE 3 NA NA 2 0 TRUE
"24" "38408e2a6befa3dec6bbd86e2d3ee8fe_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 2 0 TRUE
"25" "384a6199ad18aa6909f0acb046378fe4_gdc_realn_genes.csv" 4 0 TRUE 5 1 FALSE 4 1 FALSE 2 0 TRUE
"26" "38a87cb4c3f09eccb577dd6d040b1dc8_gdc_realn_genes.csv" 3 0 TRUE 3 0 TRUE 3 0 TRUE 2 0 TRUE
