"","SampleId","TP53_LOH","TP53_LOH_t","TP53_LOH_p"
"1","TCGA-04-1542-01",TRUE,TRUE,TRUE
"2","TCGA-04-1655-01",TRUE,TRUE,TRUE
"3","TCGA-09-0365-01",TRUE,TRUE,TRUE
"4","TCGA-09-0369-01",TRUE,TRUE,TRUE
"5","TCGA-09-1673-01",TRUE,TRUE,TRUE
"6","TCGA-09-1674-01",TRUE,TRUE,TRUE
"7","TCGA-09-1675-01",TRUE,TRUE,TRUE
"8","TCGA-09-2049-01",TRUE,TRUE,TRUE
"9","TCGA-09-2050-01",TRUE,TRUE,TRUE
"10","TCGA-09-2051-01",TRUE,TRUE,TRUE
"11","TCGA-09-2053-01",TRUE,TRUE,TRUE
"12","TCGA-09-2055-01",TRUE,TRUE,TRUE
"13","TCGA-10-0930-01",TRUE,TRUE,TRUE
"14","TCGA-10-0933-01",TRUE,TRUE,TRUE
"16","TCGA-10-0935-01",TRUE,TRUE,TRUE
"17","TCGA-13-0726-01",TRUE,TRUE,TRUE
"18","TCGA-13-0751-01",TRUE,TRUE,TRUE
"19","TCGA-13-0757-01",TRUE,TRUE,TRUE
"20","TCGA-13-0807-01",TRUE,TRUE,TRUE
"21","TCGA-13-0885-01",TRUE,TRUE,TRUE
"22","TCGA-13-0887-01",TRUE,TRUE,TRUE
"23","TCGA-13-0890-01",TRUE,TRUE,TRUE
"24","TCGA-13-0893-01",TRUE,TRUE,TRUE
"25","TCGA-13-0897-01",TRUE,TRUE,TRUE
"26","TCGA-13-0903-01",TRUE,TRUE,TRUE
"27","TCGA-13-0910-01",TRUE,TRUE,TRUE
"28","TCGA-13-0912-01",TRUE,TRUE,TRUE
"29","TCGA-13-1405-01",TRUE,TRUE,TRUE
"30","TCGA-13-1481-01",TRUE,TRUE,TRUE
"31","TCGA-13-1482-01",TRUE,TRUE,TRUE
"32","TCGA-13-1483-01",TRUE,TRUE,TRUE
"33","TCGA-13-1488-01",TRUE,TRUE,TRUE
"35","TCGA-13-1491-01",TRUE,TRUE,TRUE
"36","TCGA-13-1497-01",TRUE,TRUE,TRUE
"37","TCGA-13-1498-01",TRUE,TRUE,TRUE
"38","TCGA-13-1499-01",TRUE,TRUE,TRUE
"39","TCGA-13-1500-01",TRUE,TRUE,TRUE
"40","TCGA-13-1506-01",TRUE,TRUE,TRUE
"41","TCGA-13-1507-01",TRUE,TRUE,TRUE
"42","TCGA-13-1509-01",TRUE,TRUE,TRUE
