"SampleId" "mut_tumor_only" "mut_matching"
"10" "TCGA-09-2043-01A-01W" 86 73
"13" "TCGA-09-2045-01A-01W" 66 36
"14" "TCGA-09-2049-01D-01W" 92 123
"15" "TCGA-09-2050-01A-01W" 53 81
"16" "TCGA-09-2051-01A-01W" 127 120
"17" "TCGA-09-2053-01C-01W" 79 44
"18" "TCGA-09-2055-01B-01W" 69 65
"19" "TCGA-09-2056-01B-01W" 68 63
"20" "TCGA-10-0934-01A-02D" 54 10
"21" "TCGA-13-0751-01A-01D" 67 45
"23" "TCGA-13-0757-01A-01D" 79 69
"32" "TCGA-13-1477-01A-01D" 238 208
"33" "TCGA-13-1500-01A-01D" 91 73
"34" "TCGA-13-1505-01A-01D" 81 66
"35" "TCGA-13-2060-01A-01W" 82 50
"36" "TCGA-20-0991-01A-03D" 134 151
"40" "TCGA-23-1110-01A-01D" 108 105
"45" "TCGA-23-2072-01A-01W" 80 57
"46" "TCGA-23-2077-01A-01W" 128 110
"47" "TCGA-23-2078-01A-01W" 151 128
"48" "TCGA-23-2079-01A-01W" 59 55
"49" "TCGA-23-2081-01A-01W" 68 75
"50" "TCGA-23-2084-01A-02W" 122 114
"51" "TCGA-24-1431-01A-01D" 75 76
"52" "TCGA-24-1927-01A-01W" 116 101
"53" "TCGA-24-2019-01A-02W" 95 89
"54" "TCGA-24-2024-01A-02W" 82 92
"55" "TCGA-24-2030-01A-01W" 84 85
"56" "TCGA-24-2033-01A-01W" 108 107
"57" "TCGA-24-2035-01A-01W" 88 80
"58" "TCGA-24-2036-01A-01W" 31 37
"59" "TCGA-24-2038-01A-01W" 37 13
"60" "TCGA-24-2254-01A-01W" 74 60
"61" "TCGA-24-2260-01A-01W" 75 73
"62" "TCGA-24-2261-01A-01W" 67 52
"63" "TCGA-24-2262-01A-01W" 86 70
"64" "TCGA-24-2267-01A-01W" 109 106
"65" "TCGA-24-2271-01A-01W" 145 46
"66" "TCGA-24-2280-01A-01W" 180 177
"67" "TCGA-24-2281-01A-01W" 40 49
"68" "TCGA-24-2288-01A-01W" 171 163
"69" "TCGA-24-2289-01A-01W" 125 140
"70" "TCGA-24-2290-01A-01W" 39 46
"71" "TCGA-24-2293-01A-01W" 115 74
"72" "TCGA-24-2295-01A-01W" 76 84
"73" "TCGA-24-2298-01A-01W" 109 77
"74" "TCGA-25-1319-01A-01D" 60 50
"75" "TCGA-25-2042-01A-01W" 95 87
"76" "TCGA-25-2391-01A-01W" 57 55
"77" "TCGA-25-2392-01A-01W" 110 108
"78" "TCGA-25-2393-01A-01W" 71 55
"85" "TCGA-25-2399-01A-01W" 43 43
"86" "TCGA-25-2400-01A-01W" 70 74
"87" "TCGA-25-2401-01A-01W" 76 77
"88" "TCGA-25-2404-01A-01W" 51 45
"89" "TCGA-25-2408-01A-01W" 32 12
"90" "TCGA-25-2409-01A-01W" 35 24
"91" "TCGA-29-2427-01A-01W" 59 51
"92" "TCGA-30-1853-01A-02W" 39 53
"93" "TCGA-30-1862-01A-02W" 60 51
"94" "TCGA-30-1891-01A-01W" 78 60
"95" "TCGA-31-1950-01A-01W" 82 80
"96" "TCGA-31-1953-01A-01W" 116 62
"97" "TCGA-31-1959-01A-01W" 77 70
"98" "TCGA-57-1992-01A-01W" 129 83
"99" "TCGA-57-1993-01A-01W" 116 86
"100" "TCGA-57-1994-01A-01W" 65 40
"103" "TCGA-59-2349-01A-01W" 155 593
"104" "TCGA-59-2350-01A-01W" 22 23
"105" "TCGA-59-2351-01A-01W" 85 86
"106" "TCGA-59-2352-01A-01W" 108 74
"107" "TCGA-59-2354-01A-01W" 72 67
"108" "TCGA-59-2355-01A-01W" 43 26
"109" "TCGA-59-2363-01A-01W" 76 73
"110" "TCGA-61-1728-01A-01W" 82 73
"111" "TCGA-61-1734-01B-01W" 38 33
"112" "TCGA-61-1736-01B-01W" 51 35
