"","SampleId","Purity_ABS","Ploidy_ABS","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"2","TCGA-04-1335-01",0.77,1.83,0.62,1.85921762408168,NA,NA
"3","TCGA-04-1336-01",0.92,1.86,0.89,1.78904963942807,0.89,1.78912194066603
"6","TCGA-04-1343-01",0.61,3.11,0.56,3.07033279115721,0.56,3.07010055252418
"7","TCGA-04-1346-01",0.54,3.4,0.52,3.28537438904576,0.51,3.28134012438977
"8","TCGA-04-1347-01",0.94,4.29,0.85,4.19186485252538,0.84,4.19624437075671
"9","TCGA-04-1348-01",0.76,1.93,0.72,1.92446590546945,0.72,1.92298973980924
"10","TCGA-04-1349-01",0.76,3.39,0.71,3.32673767528835,0.7,3.32675880731273
"15","TCGA-04-1361-01",0.69,1.95,0.69,1.91159460148247,0.68,1.93355427102936
"16","TCGA-04-1362-01",0.86,3.15,0.8,3.14582759086451,0.79,3.15928463106352
"18","TCGA-04-1371-01",0.89,3,0.81,3.0606056711349,NA,NA
"36","TCGA-09-2043-01",0.88,2.31,0.82,2.30864965427449,0.82,2.30866357408839
"37","TCGA-09-2044-01",0.89,1.88,0.76,1.86638234279681,0.76,1.86632418984594
"38","TCGA-09-2044-01",0.89,1.88,0.76,1.86638234279681,0.81,1.86208976796223
"39","TCGA-09-2044-01",0.89,1.88,0.81,1.86196543634443,0.76,1.86632418984594
"40","TCGA-09-2044-01",0.89,1.88,0.81,1.86196543634443,0.81,1.86208976796223
"41","TCGA-09-2049-01",0.97,3.2,0.87,3.26819508143351,0.88,3.2679698948669
"42","TCGA-09-2050-01",0.96,1.75,0.93,1.75303684271155,0.94,1.75279104408196
"43","TCGA-09-2051-01",0.74,3.04,0.63,3.54511166447542,0.7,4.46039938245142
"44","TCGA-09-2053-01",0.81,1.74,0.66,1.68830473865202,0.66,1.68871213555715
"45","TCGA-09-2055-01",0.82,1.92,0.81,1.92918853031484,0.81,1.9290305848056
"50","TCGA-10-0931-01",0.9,1.99,0.83,2.01547986416648,NA,NA
"52","TCGA-10-0934-01",0.91,2.02,0.86,2.02187628123285,0.86,2.02197519132642
"57","TCGA-13-0751-01",0.93,2.84,0.91,2.80752832415024,0.92,2.80707918299924
"58","TCGA-13-0755-01",0.84,1.87,0.83,1.87818488907475,0.82,1.87800320943714
"59","TCGA-13-0757-01",0.77,4.01,0.71,3.89963203727523,0.7,3.94237912967906
"60","TCGA-13-0760-01",0.81,2.68,0.77,2.77307725293,0.77,2.7739531420418
"63","TCGA-13-0791-01",0.89,2.12,0.79,4.28978861804036,0.78,4.30705038313054
"65","TCGA-13-0795-01",0.48,3.74,0.46,3.8212691936238,0.47,3.76346723650768
"66","TCGA-13-0800-01",0.8,3.59,0.72,3.6649836675359,0.72,3.6595051518917
"67","TCGA-13-0804-01",0.86,1.81,0.82,1.80838147652954,NA,NA
"71","TCGA-13-0884-01",0.58,4,0.59,4.01337511445747,NA,NA
"92","TCGA-13-1403-01",0.93,2.08,0.88,2.06127233061349,0.88,2.06090768670363
"95","TCGA-13-1411-01",0.39,2.89,0.39,2.9289114489939,0.39,2.93337534682807
"96","TCGA-13-1412-01",0.69,2.06,0.65,2.06465733531698,0.66,2.06025084462718
"110","TCGA-13-1500-01",0.74,1.86,0.74,1.87273698394391,0.61,3.72254530472937
"120","TCGA-13-2060-01",0.65,3.38,0.58,3.30366611411943,0.58,3.30837739039279
"133","TCGA-23-1021-01",0.93,1.54,0.79,3.1193544879902,0.79,3.11933299728739
"134","TCGA-23-1022-01",0.89,3,0.86,2.94865320419238,0.86,2.95402012320377
"143","TCGA-23-1117-01",0.69,3.31,0.61,3.39269459745363,0.68,4.51034617022283
"144","TCGA-23-1118-01",0.79,1.84,0.51,5.08126496534309,0.51,5.0815419467233
"146","TCGA-23-1123-01",0.8,2.93,0.78,2.95262581630622,0.78,2.93598763632213
"147","TCGA-23-1124-01",0.76,3.28,0.73,3.30808010499761,0.73,3.30787370946063
"149","TCGA-23-2072-01",0.81,2.69,0.78,2.70138366154766,0.76,2.70159137766456
"150","TCGA-23-2077-01",0.47,6.14,0.56,2.83384617721324,0.55,2.85139073676872
"151","TCGA-23-2078-01",0.6,1.98,0.67,3.00418568995954,0.48,3.82579546903755
"152","TCGA-23-2079-01",0.79,2.51,0.75,2.46614721084547,0.75,2.46623588348596
"153","TCGA-23-2081-01",0.91,1.87,0.8,1.83142524583486,0.8,1.83162098747944
"154","TCGA-23-2084-01",0.69,3.25,0.75,2.77407302663873,0.75,2.77407659486112
"182","TCGA-24-1467-01",0.77,3.98,0.76,4.00500929549585,NA,NA
"205","TCGA-24-1927-01",0.82,1.91,0.73,1.907472145364,0.73,1.91305884409769
"206","TCGA-24-2019-01",0.85,2.91,0.72,3.00775194516034,0.72,3.00765740129788
"207","TCGA-24-2024-01",0.91,1.79,0.85,1.75852361148133,0.85,1.75852361148133
"208","TCGA-24-2030-01",0.86,3.05,0.79,2.91943066194816,0.79,2.92658156797595
