"","SampleId","Purity_ABS","Ploidy_ABS","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"3","TCGA-04-1336-01",0.92,1.86,0.87,1.79844785906126,0.88,1.79837325277197
"6","TCGA-04-1343-01",0.61,3.11,0.58,3.06630716490689,0.59,3.06752236490157
"7","TCGA-04-1346-01",0.54,3.4,0.51,3.33170171434401,0.5,3.3388867772171
"8","TCGA-04-1347-01",0.94,4.29,0.81,4.17375819556183,0.81,4.17403059882002
"9","TCGA-04-1348-01",0.76,1.93,0.69,1.94057836173124,0.68,1.94270601607152
"10","TCGA-04-1349-01",0.76,3.39,0.72,3.34347035702122,0.72,3.34332566979778
"15","TCGA-04-1361-01",0.69,1.95,0.63,2.08002915833844,0.63,2.07040148522056
"16","TCGA-04-1362-01",0.86,3.15,0.77,3.15285657664947,0.75,3.16071382100356
"20","TCGA-04-1542-01",0.94,3.1,0.87,3.00296457240944,0.87,3.00170989074103
"28","TCGA-04-1655-01",0.94,4.67,0.87,4.4412728408462,0.88,4.45171342376005
"30","TCGA-09-0365-01",0.94,4.38,0.92,4.33190940634879,0.94,4.33029830199705
"31","TCGA-09-0369-01",0.9,2.64,0.87,2.5988341134995,0.88,2.59824945280836
"33","TCGA-09-1673-01",0.87,4.07,0.87,4.07974372886669,0.86,4.08111535461053
"34","TCGA-09-1674-01",0.95,3.5,0.85,3.4280586746245,0.87,3.43313094155446
"35","TCGA-09-1675-01",0.95,1.8,0.91,1.82243775023156,0.92,1.8224495951244
"46","TCGA-10-0930-01",0.66,3.48,0.65,3.43547250480775,0.65,3.43853857802228
"48","TCGA-10-0933-01",0.91,2.62,0.89,2.59712463582826,0.89,2.59691515395212
"50","TCGA-10-0935-01",0.95,3.26,0.92,3.16382020737997,0.93,3.16255591169219
"53","TCGA-13-0726-01",0.73,2,0.66,1.98139215110932,0.66,1.9775596319446
"55","TCGA-13-0755-01",0.84,1.87,0.84,1.88345067864144,0.83,1.88411862537334
"57","TCGA-13-0760-01",0.81,2.68,0.78,2.77535649202294,0.78,2.78497950781303
"60","TCGA-13-0791-01",0.89,2.12,0.79,4.33308455118459,0.79,4.33037760432394
"62","TCGA-13-0795-01",0.48,3.74,0.46,3.8168866101332,0.46,3.8123862759558
"63","TCGA-13-0800-01",0.8,3.59,0.72,3.70171478497467,0.72,3.70141239337956
"64","TCGA-13-0804-01",0.86,1.81,0.86,1.80420917254792,0.86,1.80425432585541
"66","TCGA-13-0807-01",0.77,3.03,0.71,3.02929399704204,0.71,3.02982248722971
"68","TCGA-13-0884-01",0.58,4,0.58,4.00778605608357,0.58,4.00637556495535
"69","TCGA-13-0885-01",0.49,4.32,0.51,4.21796226500117,0.5,4.22797892224118
"71","TCGA-13-0887-01",0.91,1.84,0.65,3.58429467867576,0.7,3.52139246293581
"74","TCGA-13-0890-01",0.57,1.69,0.55,1.71626717668236,0.55,1.71189546473629
"76","TCGA-13-0893-01",0.71,3.27,0.63,4.37952822875939,0.63,4.5139513693517
"77","TCGA-13-0897-01",0.81,2.01,0.79,1.99211933441311,0.79,1.99209148500258
"79","TCGA-13-0903-01",0.88,1.86,0.85,1.86519413659219,0.85,1.86514886695314
"82","TCGA-13-0910-01",0.77,1.77,0.73,1.72908757257082,0.73,1.72920381193458
"84","TCGA-13-0912-01",0.94,1.88,0.92,1.89555755778429,0.92,1.89564670941611
"89","TCGA-13-1403-01",0.93,2.08,0.88,2.0708117396141,0.88,2.07081185853545
"90","TCGA-13-1404-01",0.88,1.83,0.86,1.89214375244786,0.86,1.89293358596789
"91","TCGA-13-1405-01",0.68,1.7,0.62,1.66381011603661,0.61,1.67021445461805
"92","TCGA-13-1411-01",0.39,2.89,0.4,2.87582418169045,0.4,2.87220113728617
"93","TCGA-13-1412-01",0.69,2.06,0.67,2.08896919969921,0.67,2.08395043893106
"94","TCGA-13-1481-01",0.65,1.83,0.43,4.30948836166271,0.43,4.374519851491
"95","TCGA-13-1482-01",0.86,1.91,0.84,1.91720925447964,0.84,1.91720046720237
"96","TCGA-13-1483-01",0.77,1.93,0.67,1.95266031125047,0.67,1.95029407773912
"98","TCGA-13-1488-01",0.73,2.69,0.6,2.90002094810877,0.61,2.89996429216797
"100","TCGA-13-1491-01",0.9,1.67,0.88,1.64100981308893,0.88,1.64082013233545
"104","TCGA-13-1497-01",0.85,2.79,0.79,2.84575901902181,0.79,2.84735249928199
"105","TCGA-13-1498-01",0.89,1.95,0.86,1.9037568287152,0.86,1.90231510708351
"106","TCGA-13-1499-01",0.42,2.76,0.41,2.78272306581923,0.41,2.78140377991019
"110","TCGA-13-1506-01",0.94,3.33,0.89,3.22360638243408,0.89,3.23245517463321
"111","TCGA-13-1507-01",0.73,2.91,0.67,2.84943108967211,0.67,2.84874908993636
"112","TCGA-13-1509-01",0.78,1.76,0.71,1.74939059981554,0.71,1.74925391089186
"124","TCGA-20-1682-01",0.82,1.76,0.76,1.82858647147607,0.76,1.82817421589642
"125","TCGA-20-1683-01",0.89,3,0.85,2.93255627980133,0.86,2.93234074457549
"126","TCGA-20-1684-01",0.96,2.95,0.91,2.87182693908629,0.92,2.87181980585096
"127","TCGA-20-1685-01",0.74,3.26,0.69,3.36073575025312,0.69,3.35784926239837
"128","TCGA-20-1686-01",0.82,3.25,0.7,3.30364045597932,0.7,3.2965941391009
"129","TCGA-20-1687-01",0.76,3.54,0.76,3.56444126128597,0.76,3.55803178789977
"130","TCGA-23-1021-01",0.93,1.54,0.78,3.13571965514171,0.78,3.13392111873575
"131","TCGA-23-1022-01",0.89,3,0.86,2.97402302375558,0.87,2.97452036735114
"133","TCGA-23-1029-01",0.83,1.92,0.77,1.87627193402524,0.77,1.87550926336553
"136","TCGA-23-1111-01",0.83,4.22,0.73,4.19614003447634,0.72,4.20570435852412
"138","TCGA-23-1114-01",0.76,4.19,0.57,4.54180785029062,0.56,4.52288560337812
"140","TCGA-23-1117-01",0.69,3.31,0.63,3.46619363128893,0.64,3.46336852381898
"141","TCGA-23-1118-01",0.79,1.84,0.63,1.92001925104849,0.52,3.62825916677937
"143","TCGA-23-1123-01",0.8,2.93,0.77,2.97602228767204,0.78,2.98626097512568
"144","TCGA-23-1124-01",0.76,3.28,0.73,3.31559081315171,0.74,3.31651270049171
"145","TCGA-23-1809-01",0.8,3.71,0.77,3.64351673187457,0.77,3.64985374128359
"156","TCGA-24-0980-01",0.73,1.88,0.74,1.93302045264695,0.74,1.93248681784543
"157","TCGA-24-0982-01",0.75,2.86,0.71,2.75017628456391,0.71,2.75593340253546
"158","TCGA-24-1103-01",0.96,1.88,0.92,1.8870584607902,0.93,1.88698573056648
"159","TCGA-24-1104-01",0.72,1.96,0.64,1.96371385690804,0.64,1.96349547407487
"160","TCGA-24-1413-01",0.93,1.76,0.84,3.37220565198226,0.85,3.37238501325338
"161","TCGA-24-1416-01",0.82,3.7,0.8,3.68761755068432,0.8,3.68739922312201
"162","TCGA-24-1417-01",0.69,3.05,0.64,3.12441040916664,0.65,3.12679694229491
"163","TCGA-24-1418-01",0.77,3.08,0.72,2.98797607614753,0.72,2.98720947712076
"167","TCGA-24-1424-01",0.76,4.1,0.68,4.19524490446502,0.68,4.19383746915618
"168","TCGA-24-1425-01",0.66,1.83,0.61,1.80625474616503,0.6,1.81332667891769
"170","TCGA-24-1427-01",0.57,3.09,0.57,3.08417866814628,0.57,3.05961198206869
"171","TCGA-24-1428-01",0.82,3.3,0.78,3.37917196134509,0.78,3.37968635343127
"174","TCGA-24-1435-01",0.71,3.76,0.67,3.8134732726867,0.67,3.81278182042065
"175","TCGA-24-1436-01",0.78,2.61,0.75,2.58217908603823,0.74,2.58990873885581
"176","TCGA-24-1463-01",0.84,1.75,0.83,1.70692620676487,0.83,1.7068513333421
"177","TCGA-24-1464-01",0.85,1.91,0.64,3.72133414896128,0.64,3.72361114388765
"180","TCGA-24-1469-01",0.87,3.26,0.42,3.05576607718695,0.86,4.88197191846062
"181","TCGA-24-1470-01",0.84,1.95,0.82,1.9284695373332,0.82,1.92831481396509
"184","TCGA-24-1549-01",0.85,3.69,0.78,3.63169003485672,0.77,3.63238221194311
"188","TCGA-24-1562-01",0.84,1.81,0.79,1.77471969799475,0.79,1.77491064187569
"189","TCGA-24-1563-01",0.85,2,0.72,2.01658291101889,0.71,2.01668782561108
"193","TCGA-24-1616-01",0.8,3.44,0.82,3.42214992925143,0.83,3.42116264884662
"194","TCGA-24-1842-01",0.68,3.59,0.66,3.52586889519941,0.66,3.52517576799282
"195","TCGA-24-1843-01",0.77,2.8,0.72,2.81498255206727,0.72,2.80929748976716
"196","TCGA-24-1844-01",0.86,3.47,0.52,4.1360205667313,0.52,4.11569550824278
"197","TCGA-24-1845-01",0.86,3.44,0.88,3.47461446186778,0.89,3.49125014896582
"198","TCGA-24-1846-01",0.9,1.7,0.89,1.74189700917127,0.91,1.74083572148235
"199","TCGA-24-1847-01",0.54,3.36,0.46,3.28003252875511,0.46,3.27900196668979
"201","TCGA-24-1850-01",0.77,2.7,0.71,2.71839805329147,0.71,2.67689030503224
"226","TCGA-25-1315-01",0.94,1.91,0.85,1.90280049143875,0.81,1.90288205317205
"229","TCGA-25-1322-01",0.75,1.89,0.68,1.89613737933031,0.71,1.89895025024494
"230","TCGA-25-1323-01",0.73,3.32,0.47,3.74088128967403,0.68,4.18573174857391
"243","TCGA-29-1688-01",0.84,1.9,0.77,1.91371984786659,NA,NA
"244","TCGA-29-1690-01",0.79,2.08,0.45,3.16120983948951,0.46,3.15931321975944
"245","TCGA-29-1691-01",0.91,3.12,0.84,3.15380680750837,0.85,3.15347021533155
"246","TCGA-29-1693-01",0.77,3.61,0.7,3.5646670468977,0.7,3.56503000311525
"247","TCGA-29-1694-01",0.79,1.83,0.74,1.75646446435915,0.73,1.76957536857645
"248","TCGA-29-1695-01",0.66,3.41,0.6,3.33469108460599,0.6,3.33382080520414
"249","TCGA-29-1696-01",0.95,1.94,0.9,1.96063924539975,0.91,1.9606959156317
"250","TCGA-29-1697-01",0.98,1.71,0.91,1.66927085857416,0.93,1.66924514747677
"251","TCGA-29-1698-01",0.6,5.89,0.61,3.34464863207323,0.61,3.34627621135669
"252","TCGA-29-1699-01",0.61,5.61,0.6,5.49851805716572,0.6,5.49782817907746
"253","TCGA-29-1701-01",0.71,3.35,0.55,3.47275383667712,0.55,3.47162032524845
"254","TCGA-29-1702-01",0.97,3.41,0.87,3.47484513161916,0.88,3.47948404982996
"255","TCGA-29-1703-01",0.93,2.85,0.91,2.79488218806546,0.91,2.79485929412591
"256","TCGA-29-1705-01",0.79,1.89,0.73,1.8585979124171,0.73,1.85855868529192
"257","TCGA-29-1707-01",0.88,1.88,0.77,3.74295855214306,0.78,3.75306068268569
"259","TCGA-29-1711-01",0.84,1.93,0.79,1.95037013140988,0.79,1.95021126334835
"260","TCGA-29-1761-01",0.81,2.69,0.6,3.14805305747809,0.52,3.37212313502484
"261","TCGA-29-1762-01",0.89,1.71,0.85,1.72865907329152,0.85,1.72863560274542
"262","TCGA-29-1763-01",0.74,3.02,0.69,2.85688459497404,0.6,3.06629453121611
"263","TCGA-29-1764-01",0.58,3.48,0.49,3.5163185193891,0.49,3.51252740183767
"264","TCGA-29-1766-01",0.55,4.24,0.44,4.12929444536987,0.44,4.1391633529384
"265","TCGA-29-1768-01",0.54,1.85,0.52,1.86101596845519,0.51,1.86214332230282
"266","TCGA-29-1769-01",0.88,1.87,0.62,4.49091559568505,0.59,4.56943378610189
"267","TCGA-29-1770-01",0.73,3.09,0.64,3.14236137053735,0.65,3.14152320255648
"268","TCGA-29-1771-01",0.87,1.86,0.77,1.88042771017237,NA,NA
"269","TCGA-29-1774-01",0.86,2.22,0.67,4.32778228934592,0.67,4.34024356859953
"270","TCGA-29-1775-01",0.91,3.3,0.81,3.3314781098805,0.83,3.32849524967098
"271","TCGA-29-1776-01",0.88,1.92,0.88,1.9043316065841,0.88,1.90440779062681
