"","Sampleid","Purity","Ploidy","Num.Variants","Median.Coverage","AUC.AR","AUC.POSTERIOR.SOMATIC","Callrate","Accuracy.Somatic","Accuracy.Germline","TMB.AR"
"2","TCGA-05-4244-01",0.39,4.14183803018476,434,109,0.865320896877269,0.933573892519971,0.854838709677419,0.956873315363881,0.967654986522911,7.66326467350842
"3","TCGA-05-4249-01",0.41,3.77093827397625,369,105,0.867547169811321,0.926,0.848238482384824,0.937086092715232,0.970198675496689,9.61252812852338
"4","TCGA-05-4250-01",0.49,3.12053430133395,419,122,0.766154176970218,0.906327276636921,0.675417661097852,0.95,0.989285714285714,9.60832528876901
"5","TCGA-05-4382-01",0.28,2.46704857839478,1763,142,0.948244225226322,0.95651361994073,0.965399886557005,0.987074030552291,0.991186839012926,56.9289521501806
"6","TCGA-05-4389-01",0.47,1.66552050727319,324,92,0.880298426055789,0.901823281907433,0.845679012345679,0.948905109489051,0.930656934306569,8.39494674805446
"7","TCGA-05-4395-01",0.56,3.21763557790635,353,82,0.567229347783712,0.85528829285408,0.637393767705382,0.903669724770642,0.963302752293578,7.62295673645354
"8","TCGA-05-4397-01",0.8,1.98880843098042,784,101,0.690531531761641,0.807080278920079,0.668367346938776,0.726396917148362,0.990366088631985,13.8061218381199
"9","TCGA-05-4398-01",0.42,3.83322597470989,785,93,0.873853998926463,0.913064949006978,0.85859872611465,0.916292974588939,0.979073243647235,24.3392748039259
"10","TCGA-05-4402-01",0.33,3.19741163035823,257,108,0.970194327731092,0.977087710084034,0.914396887159533,0.995555555555556,0.968888888888889,5.71695857803648
"11","TCGA-05-4403-01",0.43,2.05595449781938,258,97.5,0.946855921855922,0.970909645909646,0.949612403100775,0.995901639344262,0.979508196721312,5.28748724393702
"12","TCGA-05-4418-01",0.43,1.97638589875931,358,85,0.904761904761905,0.935814841326652,0.916201117318436,0.920731707317073,0.969512195121951,9.72618472433542
"13","TCGA-05-4420-01",0.56,3.51165733944922,343,96,0.784411915767848,0.879729498373566,0.714285714285714,0.895397489539749,0.98326359832636,7.8931218429873
