"","Sampleid","Purity","Ploidy","Num.Variants","Median.Coverage","AUC.AR","AUC.POSTERIOR.SOMATIC","Callrate","Accuracy.Somatic","Accuracy.Germline","TMB.AR"
"14","TCGA-09-2045-01",0.89,2.027517146594,287,147,0.654407102092581,0.668251955189178,0.571428571428571,0.920731707317073,0.884146341463415,2.73841863229562
"15","TCGA-09-2049-01",0.87,3.26819508143351,177,178,0.799604296212549,0.835217637083098,0.610169491525424,0.898148148148148,0.981481481481482,4.76812140703868
"16","TCGA-09-2050-01",0.93,1.75303684271155,151,193,0.608978873239437,0.718661971830986,0.635761589403974,0.78125,0.947916666666667,2.35914438551426
"17","TCGA-09-2051-01",0.63,3.54511166447542,240,147,0.822451104335539,0.804640440246895,0.7875,0.901098901098901,0.873626373626374,5.68744571007226
"18","TCGA-09-2053-01",0.66,1.68830473865202,154,124.5,0.779605263157895,0.830921052631579,0.837662337662338,0.976744186046512,0.720930232558139,3.26462908160251
"19","TCGA-09-2055-01",0.81,1.92918853031484,191,132,0.63343989769821,0.725575447570333,0.769633507853403,0.818181818181818,0.93006993006993,3.35694953916389
"20","TCGA-09-2056-01",0.86,1.74544664143072,240,135.5,0.614916921934466,0.755314211454562,0.641666666666667,0.891891891891892,0.918918918918919,3.46232520835888
"21","TCGA-10-0934-01",0.86,2.02187628123285,178,110,0.692279411764706,0.677205882352941,0.679775280898876,0.991735537190083,0.785123966942149,1.53946077820475
"22","TCGA-13-0751-01",0.91,2.80752832415024,200,120,0.845476999073788,0.755634455078728,0.42,0.91566265060241,0.903614457831325,3.13815057009154
"24","TCGA-13-0757-01",0.71,3.89963203727523,160,93.5,0.771679561573179,0.82495164410058,0.61875,0.939393939393939,0.898989898989899,4.3363923759449
"34","TCGA-13-1500-01",0.74,1.87273698394391,178,221.5,0.836898395721925,0.914839572192513,0.792134831460674,0.978723404255319,0.879432624113475,3.14281629140597
"36","TCGA-13-2060-01",0.58,3.30366611411943,228,128.5,0.830198659927119,0.954743152697778,0.81140350877193,0.994594594594595,0.891891891891892,4.67281587751937
"46","TCGA-23-2072-01",0.78,2.70138366154766,267,96,0.777313493681207,0.87984101100693,0.602996254681648,0.987577639751553,0.894409937888199,5.2203259800727
"47","TCGA-23-2077-01",0.56,2.83384617721324,247,123,0.944089564281872,0.923413125336202,0.732793522267207,0.988950276243094,0.889502762430939,5.88162429778735
"48","TCGA-23-2078-01",0.67,3.00418568995954,246,129,0.884193121693122,0.774272486772487,0.780487804878049,0.927083333333333,0.817708333333333,6.28402512594939
"49","TCGA-23-2079-01",0.75,2.46614721084547,154,105,0.765092592592593,0.862777777777778,0.714285714285714,0.936363636363636,0.918181818181818,3.14285365736155
"50","TCGA-23-2081-01",0.8,1.83142524583486,153,49,0.79965811965812,0.84,0.738562091503268,0.929203539823009,0.920353982300885,4.83715792223819
"51","TCGA-23-2084-01",0.75,2.77407302663873,231,94,0.739547300345917,0.717927507895924,0.658008658008658,0.921052631578947,0.796052631578947,5.53035612476886
"53","TCGA-24-1927-01",0.73,1.907472145364,196,159,0.84304325169359,0.866284523189161,0.841836734693878,0.963636363636364,0.884848484848485,4.39628998999175
"54","TCGA-24-2019-01",0.72,3.00775194516034,155,72,0.909313725490196,0.881676808654496,0.716129032258065,0.963963963963964,0.927927927927928,5.15384040151985
"55","TCGA-24-2024-01",0.85,1.75852361148133,227,69,0.690393700787402,0.653307086614173,0.607929515418502,0.768115942028985,0.927536231884058,4.70612053173834
"56","TCGA-24-2030-01",0.79,2.91943066194816,161,76,0.846064814814815,0.834722222222222,0.658385093167702,0.915094339622642,0.905660377358491,5.32160101012939
"57","TCGA-24-2033-01",0.77,3.22311962862186,213,118,0.884514790764791,0.879509379509379,0.690140845070423,0.951724137931034,0.896551724137931,4.74029528986584
"58","TCGA-24-2035-01",0.61,1.94526161878793,149,64,0.851010101010101,0.824134199134199,0.845637583892617,0.928571428571429,0.865079365079365,4.77789981945942
"59","TCGA-24-2036-01",0.9,1.91636799945411,107,94,0.616233766233766,0.735064935064935,0.542056074766355,0.896551724137931,0.879310344827586,1.14175690861814
"60","TCGA-24-2038-01",0.91,2.20274077900559,125,122,0.839903459372486,0.659694288012872,0.36,0.977272727272727,0.863636363636364,1.47666869449197
"61","TCGA-24-2254-01",0.78,1.74921891951197,174,80,0.71043219076006,0.707898658718331,0.695402298850575,0.857142857142857,0.848739495798319,4.31348832245326
"62","TCGA-24-2260-01",0.78,3.17605682967589,151,94,0.77453007518797,0.784962406015038,0.629139072847682,0.912087912087912,0.857142857142857,4.21226605858738
"63","TCGA-24-2261-01",0.68,2.84969896631562,151,102,0.852173913043478,0.880952380952381,0.754966887417219,0.973684210526316,0.842105263157895,3.20997647849611
"64","TCGA-24-2262-01",0.75,1.98017231599568,174,145.5,0.800377073906486,0.868476621417798,0.666666666666667,0.947368421052632,0.912280701754386,3.46699546390921
"65","TCGA-24-2267-01",0.56,2.93194745580578,236,121,0.878191276510604,0.907322929171669,0.779661016949153,0.954022988505747,0.942528735632184,5.96338054979029
"66","TCGA-24-2271-01",0.68,1.86553222817314,483,127,0.872152035417342,0.924846128927762,0.799171842650104,0.994818652849741,0.83160621761658,7.47551203181673
