"","SampleId","HLAA_LOH","HLAB_LOH","HLAC_LOH","TP53_LOH"
"2","TCGA-05-4244-01",FALSE,FALSE,FALSE,TRUE
"3","TCGA-05-4249-01",FALSE,FALSE,FALSE,FALSE
"4","TCGA-05-4250-01",FALSE,FALSE,FALSE,TRUE
"5","TCGA-05-4382-01",FALSE,FALSE,FALSE,TRUE
"6","TCGA-05-4384-01",NA,NA,NA,NA
"7","TCGA-05-4389-01",TRUE,TRUE,TRUE,TRUE
"8","TCGA-05-4390-01",TRUE,TRUE,TRUE,FALSE
"9","TCGA-05-4395-01",TRUE,TRUE,TRUE,TRUE
"10","TCGA-05-4396-01",NA,NA,NA,TRUE
"11","TCGA-05-4397-01",NA,NA,NA,TRUE
"12","TCGA-05-4398-01",FALSE,FALSE,FALSE,TRUE
"13","TCGA-05-4402-01",FALSE,FALSE,FALSE,TRUE
"14","TCGA-05-4403-01",NA,NA,NA,NA
"15","TCGA-05-4405-01",TRUE,TRUE,TRUE,FALSE
"16","TCGA-05-4410-01",FALSE,FALSE,FALSE,TRUE
"17","TCGA-05-4415-01",TRUE,TRUE,TRUE,TRUE
"18","TCGA-05-4417-01",FALSE,FALSE,FALSE,TRUE
"19","TCGA-05-4418-01",TRUE,TRUE,TRUE,NA
"20","TCGA-05-4420-01",FALSE,FALSE,FALSE,NA
"21","TCGA-05-4422-01",NA,NA,NA,NA
"22","TCGA-05-4424-01",FALSE,FALSE,FALSE,TRUE
"23","TCGA-05-4425-01",TRUE,TRUE,TRUE,TRUE
"24","TCGA-05-4426-01",NA,NA,NA,TRUE
"25","TCGA-05-4427-01",TRUE,TRUE,TRUE,TRUE
"26","TCGA-05-4430-01",FALSE,FALSE,FALSE,TRUE
"27","TCGA-05-4432-01",FALSE,FALSE,FALSE,FALSE
"28","TCGA-05-4433-01",NA,NA,NA,TRUE
"29","TCGA-05-4434-01",NA,NA,NA,NA
"30","TCGA-05-5423-01",TRUE,TRUE,TRUE,TRUE
"31","TCGA-05-5425-01",TRUE,TRUE,TRUE,TRUE
"32","TCGA-05-5428-01",TRUE,TRUE,TRUE,TRUE
"33","TCGA-05-5429-01",NA,NA,NA,TRUE
"34","TCGA-05-5715-01",NA,NA,NA,NA
"35","TCGA-35-4122-01",FALSE,FALSE,FALSE,NA
"36","TCGA-35-4123-01",NA,NA,NA,TRUE
"37","TCGA-35-5375-01",FALSE,FALSE,FALSE,TRUE
"38","TCGA-38-4625-01",TRUE,NA,NA,TRUE
"39","TCGA-38-4626-01",NA,NA,NA,NA
"40","TCGA-38-4627-01",NA,NA,NA,NA
"41","TCGA-38-4628-01",FALSE,FALSE,FALSE,FALSE
"42","TCGA-38-4631-01",TRUE,NA,NA,TRUE
"43","TCGA-38-4632-01",FALSE,FALSE,FALSE,TRUE
"44","TCGA-38-6178-01",FALSE,FALSE,FALSE,TRUE
"45","TCGA-38-7271-01",NA,NA,NA,NA
"46","TCGA-38-A44F-01",NA,NA,NA,NA
"47","TCGA-44-6779-01",NA,NA,NA,TRUE
"48","TCGA-44-8117-01",FALSE,FALSE,FALSE,TRUE
"49","TCGA-44-8119-01",TRUE,TRUE,TRUE,TRUE
"50","TCGA-44-8120-01",TRUE,TRUE,TRUE,TRUE
"51","TCGA-44-A479-01",NA,NA,NA,TRUE
"52","TCGA-44-A47A-01",FALSE,FALSE,FALSE,FALSE
"53","TCGA-44-A47B-01",FALSE,FALSE,FALSE,TRUE
"54","TCGA-44-A47F-01",FALSE,FALSE,FALSE,FALSE
"55","TCGA-44-A47G-01",NA,TRUE,NA,TRUE
"56","TCGA-44-A4SS-01",TRUE,TRUE,TRUE,TRUE
"57","TCGA-44-A4SU-01",FALSE,FALSE,FALSE,TRUE
"58","TCGA-49-4486-01",NA,NA,NA,NA
"59","TCGA-49-4487-01",FALSE,FALSE,FALSE,FALSE
"60","TCGA-49-4488-01",FALSE,FALSE,FALSE,TRUE
"61","TCGA-49-4490-01",FALSE,FALSE,FALSE,TRUE
"62","TCGA-49-4494-01",TRUE,TRUE,TRUE,NA
"63","TCGA-49-4501-01",FALSE,FALSE,FALSE,TRUE
"64","TCGA-49-4505-01",FALSE,FALSE,FALSE,TRUE
"65","TCGA-49-4506-01",NA,NA,NA,FALSE
"66","TCGA-49-4507-01",FALSE,FALSE,FALSE,TRUE
"67","TCGA-49-4510-01",FALSE,FALSE,FALSE,FALSE
"68","TCGA-49-4512-01",TRUE,TRUE,TRUE,TRUE
"69","TCGA-49-4514-01",FALSE,FALSE,FALSE,NA
"70","TCGA-49-6742-01",FALSE,FALSE,FALSE,FALSE
"71","TCGA-49-6743-01",FALSE,FALSE,FALSE,TRUE
"72","TCGA-49-6744-01",NA,NA,NA,TRUE
"73","TCGA-49-6745-01",NA,NA,NA,FALSE
"74","TCGA-49-6761-01",FALSE,FALSE,FALSE,TRUE
"75","TCGA-49-6767-01",FALSE,FALSE,FALSE,TRUE
"76","TCGA-49-AAQV-01",NA,NA,NA,TRUE
"77","TCGA-49-AAR0-01",NA,NA,NA,TRUE
"78","TCGA-49-AAR2-01",NA,NA,NA,NA
"79","TCGA-49-AAR3-01",TRUE,NA,TRUE,TRUE
"80","TCGA-49-AAR4-01",TRUE,TRUE,TRUE,TRUE
"81","TCGA-49-AAR9-01",TRUE,TRUE,TRUE,TRUE
"82","TCGA-49-AARE-01",TRUE,TRUE,TRUE,TRUE
"83","TCGA-49-AARN-01",NA,NA,NA,TRUE
"84","TCGA-49-AARO-01",FALSE,TRUE,TRUE,TRUE
"85","TCGA-49-AARQ-01",FALSE,FALSE,FALSE,TRUE
"86","TCGA-49-AARR-01",NA,NA,NA,NA
"87","TCGA-4B-A93V-01",TRUE,TRUE,TRUE,TRUE
"88","TCGA-50-5044-01",NA,NA,NA,NA
"89","TCGA-50-5045-01",NA,NA,NA,NA
"90","TCGA-50-5049-01",TRUE,TRUE,TRUE,TRUE
"91","TCGA-50-5051-01",NA,NA,NA,NA
"92","TCGA-50-5055-01",NA,NA,NA,NA
"93","TCGA-50-5068-01",TRUE,TRUE,TRUE,TRUE
"94","TCGA-50-5072-01",NA,NA,NA,TRUE
"95","TCGA-50-5930-01",TRUE,TRUE,TRUE,TRUE
"96","TCGA-50-5931-01",NA,NA,NA,TRUE
"97","TCGA-50-5932-01",FALSE,FALSE,FALSE,NA
"98","TCGA-50-5933-01",TRUE,TRUE,TRUE,TRUE
"99","TCGA-50-5935-01",FALSE,FALSE,FALSE,FALSE
"100","TCGA-50-5936-01",NA,NA,NA,TRUE
"101","TCGA-50-5939-01",NA,NA,NA,NA
"102","TCGA-50-5941-01",FALSE,FALSE,FALSE,TRUE
"103","TCGA-50-5942-01",NA,NA,NA,NA
"104","TCGA-50-5944-01",FALSE,FALSE,FALSE,TRUE
"105","TCGA-50-6590-01",FALSE,FALSE,FALSE,FALSE
"106","TCGA-50-6591-01",FALSE,FALSE,FALSE,TRUE
"107","TCGA-50-6592-01",FALSE,FALSE,FALSE,TRUE
"108","TCGA-50-6593-01",FALSE,FALSE,FALSE,TRUE
"109","TCGA-50-6594-01",TRUE,TRUE,TRUE,TRUE
"110","TCGA-50-6595-01",NA,NA,NA,TRUE
"111","TCGA-50-6673-01",FALSE,FALSE,FALSE,TRUE
"112","TCGA-50-7109-01",FALSE,FALSE,FALSE,NA
"113","TCGA-50-8457-01",NA,NA,NA,NA
"114","TCGA-50-8459-01",NA,NA,NA,NA
"115","TCGA-50-8460-01",NA,NA,NA,NA
"116","TCGA-53-7624-01",TRUE,TRUE,TRUE,TRUE
"117","TCGA-53-7626-01",TRUE,TRUE,TRUE,TRUE
"118","TCGA-53-7813-01",FALSE,FALSE,FALSE,NA
"119","TCGA-53-A4EZ-01",TRUE,TRUE,TRUE,TRUE
"120","TCGA-55-5899-01",TRUE,TRUE,TRUE,TRUE
"121","TCGA-55-6543-01",NA,NA,NA,NA
"122","TCGA-55-6642-01",TRUE,TRUE,TRUE,FALSE
"123","TCGA-55-6712-01",FALSE,FALSE,FALSE,TRUE
"124","TCGA-55-6968-01",TRUE,TRUE,TRUE,TRUE
"125","TCGA-55-6969-01",TRUE,TRUE,TRUE,FALSE
"126","TCGA-55-6970-01",NA,NA,NA,TRUE
"127","TCGA-55-6971-01",NA,NA,NA,FALSE
"128","TCGA-55-6972-01",FALSE,FALSE,FALSE,NA
"129","TCGA-55-6975-01",NA,NA,NA,TRUE
"130","TCGA-55-6978-01",TRUE,TRUE,TRUE,TRUE
"131","TCGA-55-6979-01",NA,NA,NA,TRUE
"132","TCGA-55-6980-01",TRUE,TRUE,TRUE,TRUE
"133","TCGA-55-6981-01",FALSE,FALSE,FALSE,TRUE
"134","TCGA-55-6982-01",NA,NA,NA,TRUE
"135","TCGA-55-6983-01",NA,NA,NA,NA
"136","TCGA-55-6984-01",FALSE,FALSE,FALSE,FALSE
"137","TCGA-55-6985-01",FALSE,FALSE,FALSE,TRUE
"138","TCGA-55-6986-01",NA,NA,NA,NA
"139","TCGA-55-6987-01",TRUE,TRUE,TRUE,NA
"140","TCGA-55-7284-01",NA,NA,NA,NA
"141","TCGA-55-7573-01",TRUE,TRUE,TRUE,TRUE
"142","TCGA-55-7724-01",NA,NA,NA,TRUE
"143","TCGA-55-7725-01",NA,NA,NA,NA
"144","TCGA-55-7726-01",TRUE,TRUE,TRUE,TRUE
"145","TCGA-55-7727-01",NA,NA,NA,TRUE
"146","TCGA-55-7728-01",NA,NA,NA,NA
