"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t"
"1","TCGA-05-4244-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"2","TCGA-05-4249-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"3","TCGA-05-4250-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"4","TCGA-05-4382-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"6","TCGA-05-4389-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE
"7","TCGA-05-4390-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE
"8","TCGA-05-4395-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"11","TCGA-05-4398-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE
"12","TCGA-05-4402-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
"14","TCGA-05-4405-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"15","TCGA-05-4410-01",4,1,FALSE,4,1,FALSE,4,1,FALSE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"16","TCGA-05-4415-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE
"17","TCGA-05-4417-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"18","TCGA-05-4418-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE
"19","TCGA-05-4420-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE
"21","TCGA-05-4424-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE
