"sampleID" "HLAA_C_t" "HLAA_M_t" "HLAA_LOH_t" "HLAB_C_t" "HLAB_M_t" "HLAB_LOH_t" "HLAC_C_t" "HLAC_M_t" "HLAC_LOH_t" "TP53_C_t" "TP53_M_t" "TP53_LOH_t"
"1" "C347.TCGA-05-4244-01A-01D-1105-08.5_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 3 0 TRUE
"2" "C347.TCGA-05-4249-01A-01D-1105-08.5_gdc_realn_genes.csv" 5 2 FALSE 5 2 FALSE 5 2 FALSE 3 1 FALSE
"3" "C347.TCGA-05-4250-01A-01D-1105-08.5_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 3 0 TRUE
"4" "C347.TCGA-05-4382-01A-01D-1931-08.1_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 2 0 TRUE
"5" "C347.TCGA-05-4389-01A-01D-1265-08.3_gdc_realn_genes.csv" 1 0 TRUE 1 0 TRUE 1 0 TRUE 1 0 TRUE
"6" "C347.TCGA-05-4395-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 2 0 TRUE
"7" "C347.TCGA-05-4397-01A-01D-1265-08.5_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"8" "C347.TCGA-05-4398-01A-01D-1265-08.3_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 2 0 TRUE
"9" "C347.TCGA-05-4402-01A-01D-1265-08.3_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 2 0 TRUE
"10" "C347.TCGA-05-4403-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 2 1 FALSE
"11" "C347.TCGA-05-4418-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 2 1 FALSE
"12" "C347.TCGA-05-4420-01A-01D-1265-08.3_gdc_realn_genes.csv" 5 2 FALSE 5 2 FALSE 5 2 FALSE 2 1 FALSE
"13" "C347.TCGA-05-4422-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 2 1 FALSE
"14" "C347.TCGA-05-4425-01A-01D-1753-08.1_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 1 0 TRUE
"15" "C347.TCGA-05-4426-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"16" "C347.TCGA-05-4430-01A-02D-1265-08.3_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 1 0 TRUE
"17" "C347.TCGA-05-4432-01A-01D-1265-08.3_gdc_realn_genes.csv" 3 1 FALSE 4 1 FALSE 4 1 FALSE 4 2 FALSE
"18" "C347.TCGA-05-4434-01A-01D-1265-08.5_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 2 1 FALSE
"19" "C347.TCGA-35-4122-01A-01D-1105-08.5_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 2 1 FALSE
"20" "C347.TCGA-35-4123-01A-01D-1105-08.5_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"21" "C347.TCGA-38-4628-01A-01D-1265-08.3_gdc_realn_genes.csv" 5 2 FALSE 5 2 FALSE 5 2 FALSE 6 3 FALSE
"22" "C347.TCGA-38-4629-01A-02D-1265-08.5_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 2 0 TRUE
"23" "C347.TCGA-38-4630-01A-01D-1265-08.4_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"24" "C347.TCGA-49-4486-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 2 1 FALSE
"25" "C347.TCGA-49-4494-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 2 1 FALSE
"26" "C347.TCGA-49-4501-01A-01D-1265-08.3_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 2 0 TRUE
"27" "C347.TCGA-49-4505-01A-01D-1931-08.1_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 2 0 TRUE
"28" "C347.TCGA-49-4506-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"29" "C347.TCGA-49-4507-01A-01D-1265-08.3_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 2 0 TRUE
"30" "C347.TCGA-49-4510-01A-01D-1265-08.3_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 3 1 FALSE
"31" "C347.TCGA-64-1677-01A-01W-0928-08.1_gdc_realn_genes.csv" 5 2 FALSE 5 2 FALSE 5 2 FALSE 3 1 FALSE
"32" "C347.TCGA-67-3772-01A-01W-0928-08.1_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"33" "C347.TCGA-73-4658-01A-01D-1753-08.1_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 1 0 TRUE
"34" "C347.TCGA-73-4659-01A-01D-1265-08.3_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 3 1 FALSE
"35" "C347.TCGA-73-4662-01A-01D-1265-08.3_gdc_realn_genes.csv" 4 2 FALSE 4 2 FALSE 4 2 FALSE 3 1 FALSE
"36" "C347.TCGA-73-4666-01A-01D-1265-08.5_gdc_realn_genes.csv" 4 0 TRUE 4 NA NA 4 0 TRUE 4 0 TRUE
"37" "C347.TCGA-73-4668-01A-01D-1265-08.5_gdc_realn_genes.csv" 5 2 FALSE 5 2 FALSE 5 2 FALSE 2 0 TRUE
"38" "C347.TCGA-73-4670-01A-01D-1265-08.5_gdc_realn_genes.csv" 5 2 FALSE 5 2 FALSE 5 2 FALSE 2 0 TRUE
"39" "C347.TCGA-73-4675-01A-01D-1265-08.3_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 4 2 FALSE
"40" "C347.TCGA-73-4677-01A-01D-1265-08.5_gdc_realn_genes.csv" 7 2 FALSE 7 2 FALSE 7 2 FALSE 3 1 FALSE
"41" "C509.TCGA-05-4396-01A-21D-1855-08.2_gdc_realn_genes.csv" 4 2 FALSE 5 2 FALSE 5 2 FALSE 2 0 TRUE
"42" "C509.TCGA-05-4405-01A-21D-1855-08.2_gdc_realn_genes.csv" 3 0 TRUE 3 0 TRUE 3 0 TRUE 3 1 FALSE
"43" "C509.TCGA-05-4410-01A-21D-1855-08.2_gdc_realn_genes.csv" 3 0 TRUE 3 0 TRUE 3 0 TRUE 1 0 TRUE
"44" "C509.TCGA-05-4415-01A-22D-1855-08.2_gdc_realn_genes.csv" 3 0 TRUE 3 0 TRUE 3 0 TRUE 2 0 TRUE
"45" "C509.TCGA-05-4417-01A-22D-1855-08.2_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 1 0 TRUE
"46" "C509.TCGA-05-4424-01A-22D-1855-08.2_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 3 0 TRUE
"47" "C509.TCGA-05-4427-01A-21D-1855-08.2_gdc_realn_genes.csv" 5 0 TRUE 5 0 TRUE 5 0 TRUE 3 0 TRUE
"48" "C509.TCGA-05-4433-01A-22D-1855-08.2_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"49" "C509.TCGA-05-5420-01A-01D-1625-08.1_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 1 0 TRUE
"50" "C509.TCGA-05-5423-01A-01D-1625-08.1_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 2 0 TRUE
"51" "C509.TCGA-05-5425-01A-02D-1625-08.1_gdc_realn_genes.csv" 6 1 FALSE 6 1 FALSE 6 1 FALSE 2 0 TRUE
"52" "C509.TCGA-05-5428-01A-01D-1625-08.1_gdc_realn_genes.csv" 3 1 FALSE 3 1 FALSE 3 1 FALSE 2 0 TRUE
"53" "C509.TCGA-05-5429-01A-01D-1625-08.1_gdc_realn_genes.csv" 2 1 FALSE 2 1 FALSE 2 1 FALSE 2 0 TRUE
"54" "C509.TCGA-05-5715-01A-01D-1625-08.1_gdc_realn_genes.csv" 2 0 TRUE 2 0 TRUE 2 0 TRUE 2 1 FALSE
"55" "C509.TCGA-35-5375-01A-01D-1625-08.1_gdc_realn_genes.csv" 7 2 FALSE 7 2 FALSE 7 2 FALSE 6 0 TRUE
"56" "C509.TCGA-38-4625-01A-01D-1553-08.7_gdc_realn_genes.csv" 6 0 TRUE 5 0 TRUE 5 0 TRUE 2 0 TRUE
"57" "C509.TCGA-38-4626-01A-01D-1553-08.7_gdc_realn_genes.csv" 0 0 TRUE 1 0 TRUE 1 0 TRUE 1 0 TRUE
