"sampleID" "TMB_tumor" "TMB_paired"
"1" "TCGA-05-4244-01A-01D-1105-08" 161 165
"2" "TCGA-05-4249-01A-01D-1105-08" 234 263
"3" "TCGA-05-4250-01A-01D-1105-08" 214 297
"4" "TCGA-05-4382-01A-01D-1931-08" 1582 1656
"5" "TCGA-05-4384-01A-01D-1753-08" 110 117
"6" "TCGA-05-4389-01A-01D-1265-08" 189 194
"7" "TCGA-05-4390-01A-02D-1753-08" 342 411
"8" "TCGA-05-4395-01A-01D-1265-08" 197 232
"9" "TCGA-05-4396-01A-21D-1855-08" 2705 2808
"10" "TCGA-05-4397-01A-01D-1265-08" 426 677
"11" "TCGA-05-4398-01A-01D-1265-08" 553 658
"12" "TCGA-05-4402-01A-01D-1265-08" 130 122
"13" "TCGA-05-4403-01A-01D-1265-08" 124 117
"14" "TCGA-05-4405-01A-21D-1855-08" 300 335
"15" "TCGA-05-4410-01A-21D-1855-08" 777 980
"16" "TCGA-05-4415-01A-22D-1855-08" 118 177
"17" "TCGA-05-4417-01A-22D-1855-08" 182 216
"18" "TCGA-05-4418-01A-01D-1265-08" 213 237
"19" "TCGA-05-4420-01A-01D-1265-08" 191 244
"20" "TCGA-05-4422-01A-01D-1265-08" 36 34
"21" "TCGA-05-4424-01A-22D-1855-08" 604 659
"22" "TCGA-05-4425-01A-01D-1753-08" 36 38
"23" "TCGA-05-4426-01A-01D-1265-08" 59 36
"24" "TCGA-05-4427-01A-21D-1855-08" 724 849
"25" "TCGA-05-4430-01A-02D-1265-08" 231 283
"26" "TCGA-05-4432-01A-01D-1265-08" 483 527
"27" "TCGA-05-4433-01A-22D-1855-08" 43 36
"28" "TCGA-05-4434-01A-01D-1265-08" 42 41
"29" "TCGA-05-5420-01A-01D-1625-08" 80 76
"30" "TCGA-05-5423-01A-01D-1625-08" 92 120
"31" "TCGA-05-5425-01A-02D-1625-08" 418 502
"32" "TCGA-05-5428-01A-01D-1625-08" 220 279
"33" "TCGA-05-5429-01A-01D-1625-08" 36 33
"34" "TCGA-05-5715-01A-01D-1625-08" 80 74
"35" "TCGA-35-4122-01A-01D-1105-08" 282 295
"36" "TCGA-35-4123-01A-01D-1105-08" 269 272
"37" "TCGA-35-5375-01A-01D-1625-08" 224 318
"38" "TCGA-38-4625-01A-01D-1553-08" 447 523
"39" "TCGA-38-4626-01A-01D-1553-08" 229 230
"40" "TCGA-38-4627-01A-01D-1553-08" 27 27
"41" "TCGA-38-4628-01A-01D-1265-08" 84 102
"42" "TCGA-38-4629-01A-02D-1265-08" 202 235
"43" "TCGA-38-4630-01A-01D-1265-08" 114 97
"44" "TCGA-38-4631-01A-01D-1753-08" 409 604
"45" "TCGA-38-4632-01A-01D-1753-08" 380 417
"46" "TCGA-38-6178-01A-11D-1753-08" 67 60
"47" "TCGA-38-7271-01A-11D-2036-08" 189 62
"48" "TCGA-38-A44F-01A-11D-A24D-08" 21 23
"49" "TCGA-44-6779-01A-11D-1855-08" 76 77
"50" "TCGA-44-8117-01A-11D-2238-08" 524 589
"51" "TCGA-44-8119-01A-11D-2238-08" 361 508
"52" "TCGA-44-8120-01A-11D-2238-08" 431 511
