"fullname" "Purity_ABS" "Ploidy_ABS" "Purity_PureCN" "Ploidy_PureCN"
"TCGA-05-4244-01A-01D" 0.44 4.24 0.39 4.14183803018476
"TCGA-05-4249-01A-01D" 0.49 3.78 0.41 3.77093827397625
"TCGA-05-4250-01A-01D" 0.5 3.19 0.49 3.12053430133395
"TCGA-05-4382-01A-01D" 0.21 2.93 0.28 2.46704857839478
"TCGA-05-4384-01A-01D" 0.49 2.03 0.43 2.04401063838938
"TCGA-05-4389-01A-01D" 0.48 3.23 0.47 1.66552050727319
"TCGA-05-4390-01A-02D" 0.57 3.89 0.63 3.79351542700007
"TCGA-05-4395-01A-01D" 0.61 3.22 0.56 3.21763557790635
"TCGA-05-4396-01A-21D" 0.82 1.86 0.54 3.7123266845327
"TCGA-05-4397-01A-01D" 0.87 1.99 0.8 1.98880843098042
"TCGA-05-4398-01A-01D" 0.33 4.83 0.42 3.83322597470989
"TCGA-05-4402-01A-01D" 0.44 3.24 0.33 3.19741163035823
"TCGA-05-4403-01A-01D" 0.46 2.06 0.43 2.05595449781938
"TCGA-05-4405-01A-21D" 0.38 3.21 0.33 3.20811794393711
"TCGA-05-4410-01A-21D" 0.24 4.49 0.25 2.30450181796937
"TCGA-05-4415-01A-22D" 0.67 3.59 0.6 3.54037200816957
"TCGA-05-4417-01A-22D" 0.4 2.93 0.25 2.1218383955632
"TCGA-05-4418-01A-01D" 0.55 2 0.43 1.97638589875931
"TCGA-05-4420-01A-01D" 0.59 3.49 0.56 3.51165733944922
"TCGA-05-4422-01A-01D" 0.62 2.06 0.58 2.08921562573048
"TCGA-05-4424-01A-22D" 0.24 4.42 0.26 2.88239953214973
"TCGA-05-4425-01A-01D" 0.61 1.96 0.58 1.91420625628447
"TCGA-05-4426-01A-01D" 0.7 1.99 0.63 1.99961295859622
"TCGA-05-4427-01A-21D" 0.47 4.77 0.42 4.8159288783866
"TCGA-05-4430-01A-02D" 0.2 3.49 0.19 2.54411066804412
"TCGA-05-4432-01A-01D" 0.36 3.43 0.37 3.35182872819733
"TCGA-05-4433-01A-22D" 0.62 1.89 0.53 1.91511243671529
"TCGA-05-4434-01A-01D" 0.45 1.97 0.31 1.97089365400109
"TCGA-05-5423-01A-01D" 0.59 2.36 0.55 2.37046935591369
"TCGA-05-5425-01A-02D" 0.71 1.08 0.3 2.82792828610975
"TCGA-05-5428-01A-01D" 0.63 3.34 0.62 3.19561389116657
"TCGA-05-5429-01A-01D" 0.82 2.06 0.55 2.08021809657218
"TCGA-05-5715-01A-01D" 0.73 1.82 0.71 1.84377730595484
"TCGA-35-4122-01A-01D" 0.21 3.17 0.28 2.4257006059997
"TCGA-35-4123-01A-01D" 0.4 2.01 0.32 2.05492502647153
"TCGA-35-5375-01A-01D" 0.58 3.7 0.54 4.67954060668788
"TCGA-38-4625-01A-01D" 0.35 2.98 0.37 2.93001117828905
"TCGA-38-4626-01A-01D" 0.28 2.07 0.15 1.78064522085144
"TCGA-38-4627-01A-01D" 0.22 1.86 0.18 1.92798203079463
"TCGA-38-4628-01A-01D" 0.5 4.98 0.46 4.9731695909433
"TCGA-38-4631-01A-01D" 0.49 3.1 0.49 4.14703330182107
